Incident-Exp#,Alarm Date,Alarm Time,Location and Incident type
19-0007351-000,11/08/2019,16:40:40,"ST CH & Pioneer ST 100 Fire, Other"
18-0004062-000,06/24/2018,17:28:27,Balboa RD CH/Champaig 111 Building fire
17-0003442-000,06/13/2017,18:33:26,Cherry Hills DR CH/C 111 Building fire
18-0002397-000,04/12/2018,04:31:23,Mariner WAY /PARKLAN 111 Building fire
19-0001658-000,03/12/2019,12:00:48,"S Staley RD CH/Champa 100 Fire, Other"
16-0005870-000,10/04/2016,06:45:22,N Broadway AVE UR/Ur 111 Building fire
16-0001787-000,03/29/2016,01:07:19,"Fairlawn DR /Urbana, 111 Building fire"
17-0002410-000,04/28/2017,08:25:55,E Florida AVE UR/Urba 111 Building fire
19-0007305-000,11/07/2019,10:07:17,"E Florida AVE UR/Urba 100 Fire, Other"
16-0002604-000,05/07/2016,16:40:04,Greenridge DR UR/Urb 111 Building fire
16-0003166-000,06/04/2016,03:42:06,N Gregory ST UR/Urban 111 Building fire
17-0005886-000,09/30/2017,17:09:13,E Harding DR /102/Urb 111 Building fire
20-0002089-000,03/30/2020,19:29:13,"E Harding DR /304/Urb 100 Fire, Other"
16-0004969-000,08/28/2016,19:27:01,"N Lynn ST /3/Urbana, 111 Building fire"
16-0001819-000,03/30/2016,15:33:24,MONTGOMERY ST UR/Urb 111 Building fire
16-0000096-000,01/06/2016,15:11:56,"E Main ST UR/Urbana, 111 Building fire"
16-0003990-000,07/13/2016,15:08:11,E Main ST UR/14/Urba 111 Building fire
19-0007212-000,11/03/2019,14:07:22,N Matthews AVE UR/Ur 111 Building fire
17-0007233-000,11/26/2017,22:14:30,Melrose Valley CIR U 112 Fires in structure other tha
17-0004066-000,07/13/2017,00:52:45,"Nevada ST UR/Urbana, 111 Building fire"
16-0000450-000,01/23/2016,02:01:13,S Philo RD UR/Urbana 111 Building fire
16-0000565-000,01/28/2016,14:38:29,"Pond ST UR/Urbana, I 111 Building fire"
16-0006394-000,10/28/2016,17:00:11,"Prairie Green DR UR/ 113 Cooking fire, confined to co"
16-0001331-000,03/05/2016,15:36:16,S Smith RD /14/Urban 111 Building fire
18-0007124-000,11/05/2018,01:51:08,Tatman CT UR/EZ LOCK 111 Building fire
16-0000237-000,01/13/2016,16:21:42,"Vawter ST /6A/Urbana 113 Cooking fire, confined to co"
17-0005415-000,09/11/2017,12:54:17,"Alton DR CH/Champaig 151 Outside rubbish, trash or wa"
17-0001994-000,04/09/2017,12:26:49,"E Anthony DR CH/Olive 140 Natural vegetation fire, Oth"
17-0004540-000,08/03/2017,14:32:55,W Anthony DR CH/Alexa 154 Dumpster or other outside tr
20-0005341-000,08/23/2020,22:07:02,W Anthony DR CH/Alexa 154 Dumpster or other outside tr
16-0002939-000,05/24/2016,00:17:16,W Anthony DR CH 154 Dumpster or other outside tr
19-0004813-000,08/02/2019,01:05:49,W Anthony DR CH/Cham 154 Dumpster or other outside tr
18-0002200-000,04/03/2018,14:48:11,W Anthony DR CH/Nort 131 Passenger vehicle fire
17-0002814-000,05/16/2017,15:22:09,E Armory AVE CH 154 Dumpster or other outside tr
19-0004871-000,08/04/2019,11:07:09,"Ashton South LA CH 150 Outside rubbish fire, Other"
16-0002803-000,05/16/2016,16:13:40,"Avondale AVE CH 151 Outside rubbish, trash or wa"
20-0006021-000,09/20/2020,14:58:42,Ayrshire DR CH 131 Passenger vehicle fire
16-0002598-000,05/07/2016,09:09:17,"W Beardsley AVE CH 151 Outside rubbish, trash or wa"
16-0003700-000,06/29/2016,12:03:39,"Bellepark DR CH/Champ 151 Outside rubbish, trash or wa"
20-0002328-000,04/10/2020,19:56:13,"Bloomington RD CH 151 Outside rubbish, trash or wa"
20-0004088-000,07/04/2020,23:28:07,Bloomington RD CH/Tir 154 Dumpster or other outside tr
19-0004684-000,07/26/2019,17:28:32,Bloomington RD CH/A 154 Dumpster or other outside tr
18-0000532-000,01/20/2018,12:37:52,Bloomington RD CH 154 Dumpster or other outside tr
16-0006101-000,10/16/2016,07:23:19,Bloomington RD CH/Pop 154 Dumpster or other outside tr
18-0003718-000,06/08/2018,14:19:57,Bloomington RD CH/Ma 131 Passenger vehicle fire
18-0002859-001,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
18-0002859-002,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
18-0002859-003,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
18-0002859-004,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
18-0002859-005,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
18-0002859-006,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
18-0002859-007,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
18-0002859-008,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
18-0002859-009,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
18-0002859-000,05/01/2018,14:24:21,Bloomington RD CH/Ch 131 Passenger vehicle fire
20-0002863-000,05/09/2020,22:38:04,Bloomington RD CH/Ne 142 Brush or brush-and-grass mix
17-0004518-000,08/02/2017,14:51:44,"W Bradley AVE CH 151 Outside rubbish, trash or wa"
18-0007707-000,11/30/2018,13:38:49,"W Bradley AVE CH 151 Outside rubbish, trash or wa"
17-0004228-000,07/19/2017,21:46:27,"W Bradley AVE CH/Cha 151 Outside rubbish, trash or wa"
19-0001884-000,03/22/2019,19:37:55,"W Bradley AVE CH/Cha 150 Outside rubbish fire, Other"
17-0003086-000,05/28/2017,17:53:10,W Bradley AVE CH/Wes 154 Dumpster or other outside tr
20-0005698-000,09/06/2020,23:33:33,W Bradley AVE CH/Par 154 Dumpster or other outside tr
18-0000053-000,01/02/2018,08:48:53,W Bradley AVE CH/Cha 131 Passenger vehicle fire
19-0001860-000,03/21/2019,18:43:19,"W Bradley AVE CH/BRA 150 Outside rubbish fire, Other"
17-0003598-000,06/21/2017,16:34:46,Brentwood DR CH/Cham 142 Brush or brush-and-grass mix
19-0003266-000,05/23/2019,22:55:06,Briar LN CH 154 Dumpster or other outside tr
16-0001330-000,03/05/2016,14:34:23,"Briar LN CH 150 Outside rubbish fire, Other"
17-0001988-000,04/08/2017,18:53:21,"Briar LN CH/Bay Harbo 150 Outside rubbish fire, Other"
18-0001915-000,03/21/2018,03:10:01,Briar Hill DR CH/Cha 142 Brush or brush-and-grass mix
16-0003160-000,06/03/2016,19:12:28,Briarwood DR CH/Cham 131 Passenger vehicle fire
20-0000057-000,01/03/2020,11:32:32,Broadmoor DR CH/Cham 131 Passenger vehicle fire
18-0008320-000,12/30/2018,12:18:47,Buena Vista DR CH 142 Brush or brush-and-grass mix
18-0008169-000,12/22/2018,13:45:30,"Carver DR CH 151 Outside rubbish, trash or wa"
16-0001642-000,03/21/2016,11:36:21,"Centennial DR CH/Cha 151 Outside rubbish, trash or wa"
20-0007131-000,11/03/2020,23:13:36,Chalmers ST CH 154 Dumpster or other outside tr
18-0003163-000,05/13/2018,04:46:04,"Chalmers ST CH/WASHIN 151 Outside rubbish, trash or wa"
16-0002541-000,05/04/2016,13:21:57,N Chestnut ST CH/Cons 154 Dumpster or other outside tr
17-0003561-000,06/19/2017,16:20:04,N Chestnut ST CH 143 Grass fire
17-0000797-000,02/08/2017,17:56:55,S Chestnut ST CH 131 Passenger vehicle fire
20-0007141-000,11/04/2020,14:47:45,"S Chestnut ST CH 140 Natural vegetation fire, Oth"
19-0002875-000,05/06/2019,14:57:18,"W Church ST /WEST SID 150 Outside rubbish fire, Other"
16-0003978-000,07/12/2016,22:54:04,W Church ST CH 154 Dumpster or other outside tr
19-0006715-000,10/15/2019,10:34:24,"W Church ST CH/WEST S 151 Outside rubbish, trash or wa"
17-0004521-000,08/02/2017,17:27:36,W Church ST CH/WEST S 154 Dumpster or other outside tr
16-0003296-000,06/11/2016,21:11:11,"W Church ST CH/United 140 Natural vegetation fire, Oth"
20-0004081-000,07/04/2020,20:08:00,W Church ST CH 154 Dumpster or other outside tr
20-0005156-000,08/16/2020,17:38:53,W Church ST CH/Champa 131 Passenger vehicle fire
18-0004808-000,07/31/2018,10:55:37,W Church ST CH 154 Dumpster or other outside tr
17-0003423-000,06/12/2017,18:53:34,"W Church ST CH/Champa 140 Natural vegetation fire, Oth"
16-0000255-000,01/14/2016,11:47:26,"W Church ST CH/Champa 150 Outside rubbish fire, Other"
20-0002330-000,04/10/2020,20:37:55,W Church ST CH 130 Mobile property (vehicle) fi
20-0007084-000,11/02/2020,02:38:37,W Church ST CH/Champ 142 Brush or brush-and-grass mix
17-0004350-000,07/24/2017,23:50:18,"W Church ST CH/Champ 150 Outside rubbish fire, Other"
18-0007049-000,11/01/2018,17:16:59,W Church ST CH/Champ 131 Passenger vehicle fire
18-0002772-000,04/28/2018,15:14:33,"W Church ST CH/Champ 151 Outside rubbish, trash or wa"
18-0004286-000,07/04/2018,23:39:01,E Clark ST CH/BONEYAR 154 Dumpster or other outside tr
18-0001893-000,03/20/2018,00:16:42,E Clark ST CH/507 E. 154 Dumpster or other outside tr
18-0007536-000,11/23/2018,10:51:02,W Clark ST CH/205 131 Passenger vehicle fire
17-0002353-000,04/25/2017,15:47:39,"W Clark ST CH 150 Outside rubbish fire, Other"
17-0002764-000,05/14/2017,16:53:38,"Clover LA CH/Champai 141 Forest, woods or wildland fi"
20-0006734-000,10/19/2020,01:26:48,"Colleen DR CH/Provid 140 Natural vegetation fire, Oth"
19-0001604-000,03/09/2019,23:43:13,E Columbia AVE CH 131 Passenger vehicle fire
16-0001734-000,03/26/2016,15:27:38,W Columbia AVE CH/503 131 Passenger vehicle fire
17-0001289-000,03/05/2017,14:31:58,Comanche DR CH/Champ 142 Brush or brush-and-grass mix
16-0002107-000,04/13/2016,11:50:52,Convenience PL CH 131 Passenger vehicle fire
19-0002760-000,05/01/2019,17:26:54,Convenience PL CH/Pa 154 Dumpster or other outside tr
18-0008143-000,12/20/2018,19:17:32,Convenience Center RD 131 Passenger vehicle fire
16-0000106-000,01/06/2016,18:40:46,"Coronado DR CH 151 Outside rubbish, trash or wa"
19-0008376-000,12/19/2019,15:12:10,N Country Fair DR CH/ 155 Outside stationary compactor
19-0003656-000,06/09/2019,22:22:33,Crescent DR CH 154 Dumpster or other outside tr
19-0008212-000,12/12/2019,16:15:53,Crescent DR CH/B/Cham 142 Brush or brush-and-grass mix
19-0005330-000,08/23/2019,14:18:44,Crescent DR CH/Champa 142 Brush or brush-and-grass mix
16-0005363-000,09/13/2016,06:22:08,Crescent DR CH/Champ 131 Passenger vehicle fire
17-0002635-000,05/08/2017,21:12:12,"Crescent DR CH/Champ 151 Outside rubbish, trash or wa"
16-0002375-000,04/25/2016,14:36:38,"W Curtis RD CH 151 Outside rubbish, trash or wa"
18-0006470-000,10/08/2018,15:47:09,"W Curtis RD CH 150 Outside rubbish fire, Other"
20-0002348-000,04/11/2020,15:01:02,"W Curtis RD CH 140 Natural vegetation fire, Oth"
18-0004363-000,07/09/2018,12:23:06,Cynthia DR CH/Champa 142 Brush or brush-and-grass mix
20-0003154-000,05/24/2020,13:19:29,"Cynthia DR CH/Champa 151 Outside rubbish, trash or wa"
20-0007848-000,12/02/2020,05:44:31,"Cynthia DR CH 151 Outside rubbish, trash or wa"
19-0005218-000,08/19/2019,12:52:32,"E Daniel ST CH/Triang 151 Outside rubbish, trash or wa"
19-0002207-000,04/06/2019,12:55:27,E Daniel ST CH/305 E. 154 Dumpster or other outside tr
16-0002875-000,05/20/2016,12:41:27,"E Daniel ST CH 151 Outside rubbish, trash or wa"
16-0004853-000,08/22/2016,15:08:59,Dennison DR CH 131 Passenger vehicle fire
19-0004932-000,08/06/2019,15:40:48,"Devonshire DR CH/Haym 140 Natural vegetation fire, Oth"
20-0002817-000,05/07/2020,11:14:16,Devonshire DR CH 142 Brush or brush-and-grass mix
19-0005567-000,09/01/2019,17:49:43,"Dogwood DR CH/Champai 151 Outside rubbish, trash or wa"
20-0002825-000,05/07/2020,15:15:52,"Dogwood DR CH/Champai 151 Outside rubbish, trash or wa"
18-0006742-000,10/20/2018,03:23:49,N Duncan RD CH/PARKL 143 Grass fire
20-0005624-000,09/03/2020,19:48:41,"S Duncan RD CH/First 150 Outside rubbish fire, Other"
16-0002128-000,04/14/2016,18:32:35,"S Duncan RD CH/Champ 150 Outside rubbish fire, Other"
20-0005188-000,08/17/2020,17:44:17,S Elm ST CH 154 Dumpster or other outside tr
17-0003364-000,06/10/2017,13:38:05,"English Oak DR CH/Ch 150 Outside rubbish fire, Other"
16-0001753-000,03/27/2016,13:12:47,Euclid ST CH/1103 Eu 154 Dumpster or other outside tr
20-0007193-000,11/06/2020,09:32:23,"W Eureka ST CH 150 Outside rubbish fire, Other"
16-0007362-000,12/08/2016,10:26:56,W Eureka ST CH/Flags 131 Passenger vehicle fire
17-0003217-000,06/03/2017,11:18:54,Fairfax DR CH/A/Cham 143 Grass fire
17-0007667-000,12/14/2017,17:27:17,"Fairway DR CH 150 Outside rubbish fire, Other"
17-0007672-000,12/14/2017,18:57:38,"Fairway DR CH 151 Outside rubbish, trash or wa"
19-0003666-000,06/10/2019,14:17:39,Farber DR CH/Champai 131 Passenger vehicle fire
17-0003372-000,06/10/2017,18:42:44,S Fifth ST CH/Green S 154 Dumpster or other outside tr
19-0001605-000,03/10/2019,00:06:50,S Fifth ST CH/303 S. 154 Dumpster or other outside tr
17-0000066-000,01/04/2017,00:45:03,S Fifth ST CH 131 Passenger vehicle fire
16-0005776-000,09/30/2016,18:15:46,"S First ST CH/Szechua 151 Outside rubbish, trash or wa"
17-0006769-000,11/04/2017,18:53:28,S First ST CH/Szechua 154 Dumpster or other outside tr
18-0001681-000,03/10/2018,01:53:16,"S First ST CH 151 Outside rubbish, trash or wa"
17-0001126-000,02/25/2017,10:23:38,"S First ST CH/Delta 151 Outside rubbish, trash or wa"
17-0006958-000,11/13/2017,16:31:22,"S First ST CH/E14-FI 151 Outside rubbish, trash or wa"
19-0006649-000,10/12/2019,17:12:59,S First ST CH/E14-FI 154 Dumpster or other outside tr
17-0005535-000,09/16/2017,16:23:57,S First ST CH/State 130 Mobile property (vehicle) fi
19-0004655-000,07/25/2019,14:15:31,"S First ST CH/Carle 140 Natural vegetation fire, Oth"
19-0004555-000,07/20/2019,16:33:06,"Foley AVE CH 151 Outside rubbish, trash or wa"
19-0003151-000,05/18/2019,15:36:10,"Foothill DR CH/Champ 151 Outside rubbish, trash or wa"
20-0002095-000,03/31/2020,02:04:39,S Fourth ST CH/Phi Ka 154 Dumpster or other outside tr
16-0001664-000,03/22/2016,13:06:55,Fox DR CH/Community 142 Brush or brush-and-grass mix
17-0002368-000,04/26/2017,10:12:27,Fox DR CH/Amdocs (Va 142 Brush or brush-and-grass mix
18-0002618-000,04/22/2018,02:35:50,"Frank DR CH/Champaig 151 Outside rubbish, trash or wa"
17-0004373-000,07/25/2017,19:22:42,"Garden Hills DR CH/C 151 Outside rubbish, trash or wa"
16-0001610-000,03/19/2016,12:00:03,"Garden Hills DR CH/C 151 Outside rubbish, trash or wa"
17-0002895-000,05/19/2017,13:03:03,Garwood ST CH 154 Dumpster or other outside tr
18-0006464-000,10/08/2018,12:07:51,"Glen Abbey DR CH/Cha 150 Outside rubbish fire, Other"
18-0000282-000,01/10/2018,17:11:09,Glen Burnie DR CH/Ch 131 Passenger vehicle fire
20-0008429-000,12/27/2020,21:21:19,Glenn Park DR CH/Val 131 Passenger vehicle fire
17-0004388-000,07/26/2017,12:38:31,Glenoak DR CH/Champa 142 Brush or brush-and-grass mix
16-0005942-000,10/08/2016,06:58:56,"E Green ST CH/Chris Br 151 Outside rubbish, trash or wa"
16-0003972-000,07/12/2016,21:46:56,E Green ST CH 154 Dumpster or other outside tr
17-0001858-000,04/01/2017,23:48:30,E Green ST CH/El Charr 154 Dumpster or other outside tr
16-0006290-000,10/24/2016,01:08:03,E Green ST CH/Campust 154 Dumpster or other outside tr
18-0005241-000,08/19/2018,15:46:04,E Green ST CH/Walgree 154 Dumpster or other outside tr
19-0003637-000,06/08/2019,23:56:26,E Green ST CH/Hometow 154 Dumpster or other outside tr
16-0002365-000,04/25/2016,00:58:55,"E Green ST CH/Legends 151 Outside rubbish, trash or wa"
18-0003897-000,06/16/2018,11:48:26,E Green ST CH/Subway 154 Dumpster or other outside tr
17-0002006-000,04/09/2017,23:12:27,"W Green ST CH/108 W. 140 Natural vegetation fire, Oth"
16-0003289-000,06/11/2016,15:11:42,"W Green ST CH 140 Natural vegetation fire, Oth"
16-0002402-000,04/27/2016,06:40:57,"W Green ST CH/Champai 151 Outside rubbish, trash or wa"
18-0006338-000,10/03/2018,14:50:46,"W Green ST CH/Champa 150 Outside rubbish fire, Other"
20-0002389-000,04/13/2020,16:37:04,Greencroft DR CH/Champ 142 Brush or brush-and-grass mix
16-0002218-000,04/18/2016,16:33:14,Gregory DR CH/UI#0380 154 Dumpster or other outside tr
17-0001014-000,02/19/2017,12:56:32,Gregory DR CH/Tau Kap 154 Dumpster or other outside tr
17-0000990-004,02/18/2017,09:34:45,Grove ST CH 131 Passenger vehicle fire
20-0005045-000,08/12/2020,17:36:22,"Grove ST CH/Douglas C 151 Outside rubbish, trash or wa"
17-0004272-000,07/21/2017,18:29:42,Hampshire DR CH 154 Dumpster or other outside tr
18-0008286-000,12/28/2018,11:18:11,Harbortown CIR CH/Ha 131 Passenger vehicle fire
19-0006592-000,10/10/2019,17:45:50,Harrington DR CH 142 Brush or brush-and-grass mix
17-0002183-000,04/18/2017,14:09:06,"Harris AVE CH 140 Natural vegetation fire, Oth"
20-0005531-000,08/30/2020,20:24:52,"Harris AVE CH/Spaldin 151 Outside rubbish, trash or wa"
17-0005896-000,09/30/2017,22:39:42,"Harris AVE CH 150 Outside rubbish fire, Other"
19-0004269-000,07/07/2019,04:41:23,Harvard ST CH 143 Grass fire
20-0003390-000,06/03/2020,11:26:42,"Harvard ST CH/Champai 151 Outside rubbish, trash or wa"
16-0005972-000,10/09/2016,12:39:40,"Hazelwood DR CH/Enterp 140 Natural vegetation fire, Oth"
20-0008469-000,12/29/2020,12:16:31,"W Healey ST CH/Champ 150 Outside rubbish fire, Other"
20-0005757-000,09/09/2020,18:33:14,"Hedge RD CH/Champaig 151 Outside rubbish, trash or wa"
17-0004204-000,07/18/2017,17:41:09,Hedge RD CH/Champaig 143 Grass fire
18-0003756-000,06/10/2018,06:45:15,Hedge RD CH 131 Passenger vehicle fire
17-0007686-000,12/15/2017,13:42:08,"Henry ST CH/Champaig 151 Outside rubbish, trash or wa"
17-0006351-000,10/20/2017,15:06:26,"Henson PL CH/Burns, Pi 140 Natural vegetation fire, Oth"
18-0005045-000,08/11/2018,16:46:54,Hessel BLVD CH/Creati 142 Brush or brush-and-grass mix
20-0007541-000,11/19/2020,16:00:04,"Hessel BLVD CH 150 Outside rubbish fire, Other"
17-0000102-000,01/05/2017,16:32:17,Hickory ST CH 131 Passenger vehicle fire
17-0007874-000,12/25/2017,22:04:59,"Hickory ST CH 140 Natural vegetation fire, Oth"
16-0003081-000,05/31/2016,06:11:22,"Hickory ST CH 151 Outside rubbish, trash or wa"
17-0003373-000,06/10/2017,18:51:32,Hickory ST CH 131 Passenger vehicle fire
16-0003323-000,06/13/2016,05:48:01,"Highview CT CH 140 Natural vegetation fire, Oth"
17-0007730-000,12/17/2017,14:28:26,Highview CT CH 154 Dumpster or other outside tr
16-0003208-000,06/06/2016,10:49:08,"W Hill ST CH 150 Outside rubbish fire, Other"
19-0007693-000,11/21/2019,02:36:28,W Hill ST CH/Champai 131 Passenger vehicle fire
17-0003722-000,06/27/2017,16:51:00,Holiday DR CH/Champai 131 Passenger vehicle fire
20-0001243-000,02/22/2020,15:45:06,"Holiday DR CH/Champai 151 Outside rubbish, trash or wa"
18-0003564-000,05/31/2018,21:01:43,Holly Hill DR CH/Cha 131 Passenger vehicle fire
17-0001166-000,02/27/2017,22:52:49,"Holly Hill DR CH/Cha 151 Outside rubbish, trash or wa"
17-0001691-000,03/24/2017,15:14:58,"Holly Hill DR CH/Cha 151 Outside rubbish, trash or wa"
19-0005695-000,09/06/2019,19:37:12,"Holly Hill DR CH/Cha 151 Outside rubbish, trash or wa"
18-0001651-000,03/09/2018,01:01:01,Honeysuckle LA CH/Ch 131 Passenger vehicle fire
16-0002503-000,05/02/2016,18:58:51,Hunters Pond RUN CH/ 153 Construction or demolition l
20-0005284-000,08/21/2020,13:57:13,"INST CH/Champaign, I 143 Grass fire"
17-0004265-000,07/21/2017,12:35:37,I-57 MM 231 INST CH/Ch 143 Grass fire
18-0003827-000,06/12/2018,18:42:20,I-57 MM 232 INST CH/Ch 131 Passenger vehicle fire
19-0000386-000,01/18/2019,12:58:41,I-57 MM 233 INST CH/Ch 131 Passenger vehicle fire
19-0000839-000,02/03/2019,12:54:24,I-57 MM 233 INST CH/Ch 132 Road freight or transport ve
16-0004588-000,08/11/2016,07:08:09,I-57 MM 235 INST CH/Ch 131 Passenger vehicle fire
17-0005043-000,08/26/2017,18:47:47,I-57 MM 236 INST CH/Ch 143 Grass fire
16-0003537-000,06/22/2016,19:00:21,I-57 MM 236 INST CH/Ch 131 Passenger vehicle fire
16-0003441-000,06/18/2016,20:56:12,I-72 MM 181 INST CH/Ch 131 Passenger vehicle fire
16-0001645-000,03/21/2016,14:14:25,I-72 MM 181 INST CH/Ch 143 Grass fire
18-0000794-000,01/31/2018,11:18:37,I-74 MM 178 INST CH/Ch 143 Grass fire
20-0000422-000,01/20/2020,13:36:18,I-74 MM 178 INST CH/Ch 131 Passenger vehicle fire
19-0008512-000,12/25/2019,20:44:52,I-74 MM 179 INST CH/Ch 131 Passenger vehicle fire
19-0005170-000,08/16/2019,13:32:58,I-74 MM 181 INST CH 131 Passenger vehicle fire
19-0004701-000,07/27/2019,09:55:58,I-74 MM 181 INST CH/Ch 143 Grass fire
17-0002740-000,05/13/2017,16:50:22,I-74 MM 181 INST CH 131 Passenger vehicle fire
17-0003943-000,07/07/2017,23:06:50,I-74 MM 182 INST CH 131 Passenger vehicle fire
17-0000829-000,02/10/2017,07:26:55,Interstate DR /HOBBI 154 Dumpster or other outside tr
20-0005398-000,08/25/2020,19:37:37,Interstate DR CH/Aldi 131 Passenger vehicle fire
17-0004092-000,07/14/2017,13:07:15,"N James ST CH/Champai 151 Outside rubbish, trash or wa"
17-0004661-000,08/10/2017,15:04:23,"Joanne LN CH/Champai 151 Outside rubbish, trash or wa"
20-0007522-000,11/18/2020,17:02:01,"Joanne LN CH/Champai 140 Natural vegetation fire, Oth"
20-0006206-000,09/27/2020,21:12:41,"Joanne LN CH/Champai 150 Outside rubbish fire, Other"
20-0003191-000,05/25/2020,23:08:35,E John ST CH/West Quad 154 Dumpster or other outside tr
17-0005608-000,09/19/2017,23:33:46,E John ST CH/48 E. Joh 131 Passenger vehicle fire
16-0003730-000,07/01/2016,02:52:35,E John ST CH/48 E. Joh 154 Dumpster or other outside tr
18-0003055-000,05/09/2018,16:26:04,W John ST CH/Champai 131 Passenger vehicle fire
20-0002264-000,04/07/2020,14:44:59,W John ST CH/Champai 131 Passenger vehicle fire
18-0005132-000,08/15/2018,15:14:13,W John ST CH/2003 W. 154 Dumpster or other outside tr
18-0002776-000,04/28/2018,16:43:07,"W John ST CH/Champai 151 Outside rubbish, trash or wa"
16-0007252-000,12/04/2016,00:23:13,Karen CT CH/Champaig 142 Brush or brush-and-grass mix
20-0005257-000,08/20/2020,14:05:13,"Kearns DR CH/Champai 151 Outside rubbish, trash or wa"
19-0008037-000,12/05/2019,15:07:17,Kenny AVE CH/Champai 142 Brush or brush-and-grass mix
19-0003584-000,06/06/2019,20:17:50,Kenwood RD CH/Gramerc 154 Dumpster or other outside tr
19-0004221-000,07/04/2019,22:28:04,Kenwood RD CH/Gramerc 154 Dumpster or other outside tr
20-0004074-000,07/04/2020,16:32:21,Kenwood RD CH 154 Dumpster or other outside tr
18-0006351-000,10/04/2018,04:23:04,Kenwood RD CH/Gramerc 131 Passenger vehicle fire
16-0003742-000,07/01/2016,21:27:15,Kenwood RD CH 154 Dumpster or other outside tr
17-0007282-000,11/28/2017,16:03:13,W Kenyon RD CH/Federa 142 Brush or brush-and-grass mix
19-0008570-000,12/28/2019,23:36:36,W Kenyon RD CH 132 Road freight or transport ve
20-0003804-000,06/22/2020,14:07:57,"Kimberly DR CH/Champ 151 Outside rubbish, trash or wa"
20-0008091-000,12/12/2020,21:57:26,W Kirby AVE CH/Jarlin 131 Passenger vehicle fire
16-0002176-000,04/16/2016,16:11:57,W Kirby AVE CH/County 131 Passenger vehicle fire
20-0004450-000,07/18/2020,22:06:51,"W Kirby AVE CH/HESSEL 150 Outside rubbish fire, Other"
20-0004579-000,07/24/2020,10:02:52,W Kirby AVE CH/HESSEL 131 Passenger vehicle fire
18-0004282-000,07/04/2018,21:28:42,W Kirby AVE CH/HESSEL 154 Dumpster or other outside tr
20-0006720-000,10/18/2020,01:35:24,W Kirby AVE CH 142 Brush or brush-and-grass mix
18-0008138-000,12/20/2018,14:55:11,W Kirby AVE CH 131 Passenger vehicle fire
17-0004730-000,08/13/2017,17:59:14,"W Kirby AVE CH/Champ 151 Outside rubbish, trash or wa"
19-0002759-000,05/01/2019,16:44:52,"W Kirby AVE CH/Champ 151 Outside rubbish, trash or wa"
17-0004735-000,08/13/2017,21:58:51,W Kirby AVE CH/Champ 131 Passenger vehicle fire
19-0005240-000,08/20/2019,10:41:52,"W Kirby AVE CH/Champ 151 Outside rubbish, trash or wa"
17-0003351-000,06/09/2017,21:08:44,Larkspur LA CH/Champ 142 Brush or brush-and-grass mix
16-0005356-000,09/13/2016,01:46:39,"Lincolnshire DR CH/L 151 Outside rubbish, trash or wa"
17-0003758-000,06/29/2017,13:15:21,Lincolnshire DR CH 142 Brush or brush-and-grass mix
19-0002583-000,04/23/2019,19:07:26,"Lock Raven North RD 151 Outside rubbish, trash or wa"
18-0003184-000,05/14/2018,12:03:22,Locust ST CH/The Cas 154 Dumpster or other outside tr
18-0002891-000,05/02/2018,12:43:42,Main ST CH/Merryanns Di 154 Dumpster or other outside tr
16-0005683-000,09/27/2016,12:56:45,Maple ST CH/Champaign 131 Passenger vehicle fire
19-0003303-000,05/25/2019,12:21:34,"Maple ST CH 140 Natural vegetation fire, Oth"
17-0007371-000,12/02/2017,15:12:26,N Market ST CH/Champa 142 Brush or brush-and-grass mix
17-0007246-000,11/27/2017,12:58:26,N Market ST CH/AAA S 131 Passenger vehicle fire
19-0007944-000,12/01/2019,14:30:50,E Marketview DR CH 131 Passenger vehicle fire
19-0000670-000,01/29/2019,12:36:55,W Marketview DR CH/Su 131 Passenger vehicle fire
20-0003767-000,06/20/2020,15:10:19,W Marketview DR CH 142 Brush or brush-and-grass mix
17-0002966-000,05/22/2017,16:02:49,"W Marketview DR CH/Ch 151 Outside rubbish, trash or wa"
20-0003082-000,05/20/2020,10:05:26,W Marketview DR CH/Fi 131 Passenger vehicle fire
20-0002402-000,04/14/2020,09:23:28,W Marketview DR CH/Sa 131 Passenger vehicle fire
18-0007800-000,12/05/2018,02:58:24,N Mattis AVE CH/under 131 Passenger vehicle fire
20-0007658-000,11/24/2020,11:58:51,N Mattis AVE CH/O'Re 131 Passenger vehicle fire
16-0000252-000,01/14/2016,09:40:28,N Mattis AVE CH/Cham 131 Passenger vehicle fire
20-0008277-000,12/22/2020,10:42:40,N Mattis AVE CH/Cham 131 Passenger vehicle fire
18-0002883-000,05/02/2018,08:06:12,"N Mattis AVE CH/Cham 151 Outside rubbish, trash or wa"
20-0004190-000,07/08/2020,20:29:11,N Mattis AVE CH/Matt 154 Dumpster or other outside tr
